Timestamp,ImageFilename,RecognizedText
2025-06-09 13:54:44,plate_KL6036_20250609_135444_017787_0000.jpg,KL6036
2025-06-09 13:54:44,plate_L6036_20250609_135444_033288_0000.jpg,L6036
2025-06-09 14:21:51,plate_L6036_20250609_142151_411854_0000.jpg,L6036
2025-06-09 14:22:40,plate_FKL6036_20250609_142240_037569_0001.jpg,FKL6036
2025-06-09 14:22:41,plate_GKLZ6036_20250609_142241_207010_0001.jpg,GKLZ6036
2025-06-09 14:23:36,plate_L6036_20250609_142336_272085_0003.jpg,L6036
2025-06-09 14:23:37,plate_KL6036_20250609_142337_168429_0003.jpg,KL6036
2025-06-09 14:51:44,plate_L6036_20250609_145144_818830_0000.jpg,L6036
2025-06-09 14:51:45,plate_6036_20250609_145145_794756_0000.jpg,6036
2025-06-09 14:52:13,plate_6036_20250609_145213_138612_0000.jpg,6036
2025-06-09 14:52:14,plate_603_20250609_145214_490932_0000.jpg,603
2025-06-09 14:52:31,plate_GKL6036_20250609_145231_961966_0000.jpg,GKL6036
2025-06-09 14:52:34,plate_KL-6036_20250609_145234_089708_0000.jpg,KL-6036
2025-06-09 14:52:36,plate_MIKL6030_20250609_145236_171921_0000.jpg,MIKL6030
2025-06-09 14:52:39,plate_KLE6030_20250609_145239_505886_0000.jpg,KLE6030
2025-06-09 14:52:41,plate_KL6036_20250609_145241_625798_0000.jpg,KL6036
2025-06-09 14:52:41,plate_L6036_20250609_145241_640790_0000.jpg,L6036
2025-06-09 14:53:57,plate_L6036I_20250609_145357_544685_0000.jpg,L 6036I
2025-06-09 14:53:59,plate_KL6036_20250609_145359_920836_0000.jpg,KL6036
2025-06-09 14:53:59,plate_LL6036_20250609_145359_937881_0000.jpg,LL6036
2025-06-09 14:54:02,plate_KL-6036_20250609_145402_161001_0000.jpg,KL-6036
2025-06-09 14:54:02,plate_TKL60_20250609_145402_172655_0000.jpg,TKL60
2025-06-09 15:45:03,plate_L76036_20250609_154503_260350_0000.jpg,L76036
2025-06-09 15:45:05,plate_IKL6036_20250609_154505_406166_0000.jpg,IKL6036
2025-06-09 16:15:53,plate_CAB8874_20250609_161553_620139_0000.jpg,CAB8874
2025-06-09 16:19:49,plate_LAB8876_20250609_161949_987915_0000.jpg,LAB8876
2025-06-09 16:20:24,plate_NKL6036_20250609_162024_577382_0000.jpg,NKL6036
2025-06-09 16:20:24,plate_L6036_20250609_162024_654391_0000.jpg,L6036
2025-06-09 16:20:52,plate_NKL6036_20250609_162052_214618_0000.jpg,NKL6036
2025-06-09 16:21:13,plate_CAB8874_20250609_162113_523683_0000.jpg,CAB8874
2025-06-09 16:33:16,plate_4CAB8874_20250609_163316_926183_0000.jpg,4 CAB8874
2025-06-09 17:11:50,plate_CAB887_20250609_171150_692815_0000.jpg,CAB887
2025-06-09 17:11:50,plate_CAB887_20250609_171150_743113_0000.jpg,CAB887
2025-06-09 17:13:32,plate_CAB8874_20250609_171332_710839_0002.jpg,CAB8874
2025-06-11 13:18:54,plate_MKL6038-_20250611_131854_192369_0000.jpg,MKL 6038-
2025-06-11 13:19:26,plate_7L6038_20250611_131926_639744_0001.jpg,7L6038
2025-06-11 13:19:27,plate_KL-6036_20250611_131927_926430_0001.jpg,KL-6036
2025-06-11 13:19:27,plate_KL-602_20250611_131927_936786_0001.jpg,KL-602
2025-06-11 13:19:29,plate_AL6036_20250611_131929_215640_0001.jpg,AL6036
