Timestamp,ImageFilename,RecognizedText
2025-05-30_17-02-26,plate_2025-05-30_17-02-26_0000.jpg,KL 6036
2025-05-30_17-02-31,plate_2025-05-30_17-02-31_0001.jpg,L 6036
2025-05-30_17-02-32,plate_2025-05-30_17-02-32_0002.jpg,KL76036
2025-06-02_10-04-54,plate_2025-06-02_10-04-54_0000.jpg,22881
2025-06-02_10-04-54,plate_2025-06-02_10-04-54_0001.jpg,PF 2988
2025-06-02_10-05-15,plate_2025-06-02_10-05-15_0002.jpg,PF 2288
2025-06-02_10-05-21,plate_2025-06-02_10-05-21_0003.jpg,WPF 2988
2025-06-02_10-06-57,plate_2025-06-02_10-06-57_0004.jpg,CAB8877
2025-06-02_10-07-29,plate_2025-06-02_10-07-29_0005.jpg,CAB8872
2025-06-02_10-08-11,plate_2025-06-02_10-08-11_0006.jpg,CAB8874
2025-06-02_10-10-23,plate_2025-06-02_10-10-23_0007.jpg,MKL 6036
2025-06-02_10-10-24,plate_2025-06-02_10-10-24_0008.jpg,KL 6U361
2025-06-02_10-10-29,plate_2025-06-02_10-10-29_0009.jpg,MKL6036
2025-06-02_10-11-09,plate_2025-06-02_10-11-09_0010.jpg,KLE60
2025-06-02_10-11-12,plate_2025-06-02_10-11-12_0011.jpg,MKL60361
2025-06-02_10-11-14,plate_2025-06-02_10-11-14_0012.jpg,L76036
2025-06-02_10-11-14,plate_2025-06-02_10-11-14_0013.jpg,KL603
2025-06-02_10-11-20,plate_2025-06-02_10-11-20_0014.jpg,NKL6036
2025-06-02_10-11-26,plate_2025-06-02_10-11-26_0015.jpg,NM KL603
2025-06-02_10-11-27,plate_2025-06-02_10-11-27_0016.jpg,MKL6036
2025-06-02_10-11-31,plate_2025-06-02_10-11-31_0017.jpg,L6036
2025-06-02_10-11-48,plate_2025-06-02_10-11-48_0018.jpg,MKL60361
2025-06-02_10-11-54,plate_2025-06-02_10-11-54_0019.jpg,MKL603
2025-06-02_10-11-56,plate_2025-06-02_10-11-56_0020.jpg,KL6030
2025-06-02_10-12-02,plate_2025-06-02_10-12-02_0021.jpg,L 6036
2025-06-02_10-23-16,plate_2025-06-02_10-23-16_0022.jpg,CAB8874
2025-06-02_10-36-09,plate_2025-06-02_10-36-09_0000.jpg,BAH6684
2025-06-02_10-49-56,plate_2025-06-02_10-49-56_0000.jpg,6036
2025-06-02_11-04-04,plate_2025-06-02_11-04-04_0000.jpg,56030
2025-06-02_11-04-25,plate_2025-06-02_11-04-25_0001.jpg,36036
2025-06-02_11-04-26,plate_2025-06-02_11-04-26_0002.jpg,L6030
2025-06-02_11-04-31,plate_2025-06-02_11-04-31_0003.jpg,L36036
2025-06-02_11-04-37,plate_2025-06-02_11-04-37_0004.jpg,L6036
2025-06-02_11-04-47,plate_2025-06-02_11-04-47_0005.jpg,L36036
2025-06-02_11-04-56,plate_2025-06-02_11-04-56_0006.jpg,36036
2025-06-02_11-04-57,plate_2025-06-02_11-04-57_0007.jpg,L36036
2025-06-02_11-05-10,plate_2025-06-02_11-05-10_0008.jpg,KL36036
2025-06-02_11-05-24,plate_2025-06-02_11-05-24_0009.jpg,KL6036
2025-06-02_16-56-20,plate_2025-06-02_16-56-20_0000.jpg,DROIDCAM
2025-06-02_16-56-20,plate_2025-06-02_16-56-20_0001.jpg,STARTDROI
2025-06-02_16-56-20,plate_2025-06-02_16-56-20_0002.jpg,ID DBIO1DF1PTZ
2025-06-02_16-56-37,plate_2025-06-02_16-56-37_0003.jpg,DROIDCAM
2025-06-02_16-56-37,plate_2025-06-02_16-56-37_0004.jpg,STARTDROI
2025-06-02_16-56-37,plate_2025-06-02_16-56-37_0005.jpg,ID DBIO1DF1PTZ
2025-06-02_16-57-07,plate_2025-06-02_16-57-07_0006.jpg,DROIDCAM
2025-06-02_16-57-07,plate_2025-06-02_16-57-07_0007.jpg,STARTDROI
2025-06-02_16-57-07,plate_2025-06-02_16-57-07_0008.jpg,ID DBIO1DF1PTZ
2025-06-02_16-57-50,plate_2025-06-02_16-57-50_0009.jpg,NII 14
2025-06-02_16-57-51,plate_2025-06-02_16-57-51_0010.jpg,ND 8740
2025-06-03_10-15-44,plate_2025-06-03_10-15-44_0000.jpg,P ND874L
2025-06-03_10-15-45,plate_2025-06-03_10-15-45_0001.jpg,87KN
2025-06-03_10-15-48,plate_2025-06-03_10-15-48_0002.jpg,ND D 874L
2025-06-03_10-15-49,plate_2025-06-03_10-15-49_0003.jpg,ND 8740
2025-06-03_11-00-13,plate_2025-06-03_11-00-13_0000.jpg,KEND D 8740
2025-06-03_11-00-15,plate_2025-06-03_11-00-15_0001.jpg,PND 874
2025-06-03_11-00-19,plate_2025-06-03_11-00-19_0002.jpg,ND874
2025-06-03_11-00-29,plate_2025-06-03_11-00-29_0003.jpg,ND8740
2025-06-03_11-07-12,plate_2025-06-03_11-07-12_0000.jpg,ND 8240
2025-06-03_11-33-34,plate_2025-06-03_11-33-34_0000.jpg,844
2025-06-03_11-33-35,plate_2025-06-03_11-33-35_0001.jpg,ND 8740
2025-06-03_11-36-03,plate_2025-06-03_11-36-03_0000.jpg,ND8740
2025-06-03_11-58-40,plate_2025-06-03_11-58-40_0000.jpg,KLE603
2025-06-03_11-58-44,plate_2025-06-03_11-58-44_0001.jpg,KL6036
2025-06-03_12-05-29,plate_2025-06-03_12-05-29_0000.jpg,KL603
2025-06-03_12-05-34,plate_2025-06-03_12-05-34_0001.jpg,GKL6036
2025-06-03_13-14-45,plate_2025-06-03_13-14-45_0002.jpg,6032
2025-06-03_13-15-07,plate_2025-06-03_13-15-07_0003.jpg,603 KLZ
2025-06-03_13-15-17,plate_2025-06-03_13-15-17_0004.jpg,KL603
2025-06-03_13-15-18,plate_2025-06-03_13-15-18_0005.jpg,KLR6036
2025-06-03_13-15-25,plate_2025-06-03_13-15-25_0006.jpg,L36036
2025-06-03_13-15-30,plate_2025-06-03_13-15-30_0007.jpg,7603
2025-06-03_13-15-32,plate_2025-06-03_13-15-32_0008.jpg,56036
2025-06-03_13-15-36,plate_2025-06-03_13-15-36_0009.jpg,7603 KL
2025-06-03_13-15-38,plate_2025-06-03_13-15-38_0010.jpg,L36O30
2025-06-03_13-15-46,plate_2025-06-03_13-15-46_0011.jpg,06036
2025-06-03_13-15-48,plate_2025-06-03_13-15-48_0012.jpg,KL6036
